location_id,on_date,min_temp_c,max_temp_c,precip_mm,conditions,source
12,2025-10-21,20.2,33.1,0.0,Clear,Open-Meteo
12,2025-10-22,21.6,34.1,0.0,Clear,Open-Meteo
12,2025-10-23,20.0,33.5,0.0,Partly cloudy,Open-Meteo
12,2025-10-24,19.4,32.3,0.0,Cloudy,Open-Meteo
12,2025-10-25,19.6,33.4,0.0,Clear,Open-Meteo
12,2025-10-26,20.8,30.8,0.0,Partly cloudy,Open-Meteo
13,2025-10-20,24.4,36.0,0.0,Clear,Open-Meteo
13,2025-10-21,23.8,36.0,0.0,Clear,Open-Meteo
13,2025-10-22,25.0,36.5,0.0,Clear,Open-Meteo
13,2025-10-23,24.4,36.0,0.0,Clear,Open-Meteo
13,2025-10-24,24.2,36.0,0.0,Clear,Open-Meteo
13,2025-10-25,25.0,36.2,0.0,Clear,Open-Meteo
13,2025-10-26,24.8,35.7,0.0,Mainly clear,Open-Meteo
14,2025-10-20,24.4,34.1,0.0,Mainly clear,Open-Meteo
14,2025-10-21,24.8,34.0,0.0,Clear,Open-Meteo
14,2025-10-22,24.9,33.8,0.0,Clear,Open-Meteo
14,2025-10-23,25.3,33.7,0.0,Partly cloudy,Open-Meteo
14,2025-10-24,24.1,32.8,0.1,Light drizzle,Open-Meteo
14,2025-10-25,24.9,33.9,0.0,Partly cloudy,Open-Meteo
14,2025-10-26,25.4,33.7,0.0,Partly cloudy,Open-Meteo
15,2025-10-20,14.3,20.7,9.8,Unknown,Open-Meteo
15,2025-10-21,8.7,19.1,0.0,Partly cloudy,Open-Meteo
15,2025-10-22,12.4,16.9,8.9,Moderate rain,Open-Meteo
15,2025-10-23,9.6,15.3,0.1,Light drizzle,Open-Meteo
15,2025-10-24,6.4,14.8,0.1,Light drizzle,Open-Meteo
15,2025-10-25,6.4,14.4,0.0,Cloudy,Open-Meteo
15,2025-10-26,7.4,14.4,0.0,Cloudy,Open-Meteo
16,2025-10-20,1.3,8.8,0.0,Cloudy,Open-Meteo
16,2025-10-21,2.0,10.4,0.0,Mainly clear,Open-Meteo
16,2025-10-22,3.4,11.0,0.0,Cloudy,Open-Meteo
16,2025-10-23,4.3,11.3,0.0,Cloudy,Open-Meteo
16,2025-10-24,5.1,12.6,0.0,Cloudy,Open-Meteo
16,2025-10-25,5.9,14.5,0.0,Mainly clear,Open-Meteo
16,2025-10-26,2.4,10.7,0.0,Clear,Open-Meteo
17,2025-10-20,24.1,32.5,7.0,Moderate rain,Open-Meteo
17,2025-10-21,25.1,32.7,0.0,Cloudy,Open-Meteo
17,2025-10-22,24.4,31.2,0.3,Light drizzle,Open-Meteo
17,2025-10-23,23.7,30.7,0.0,Cloudy,Open-Meteo
17,2025-10-24,24.6,31.4,0.2,Light drizzle,Open-Meteo
17,2025-10-25,25.5,32.0,0.9,Moderate drizzle,Open-Meteo
17,2025-10-26,24.9,32.8,0.1,Light drizzle,Open-Meteo
18,2025-10-20,20.4,30.3,0.6,Light drizzle,Open-Meteo
18,2025-10-21,16.5,22.5,8.8,Unknown,Open-Meteo
18,2025-10-22,15.2,17.8,11.2,Light rain,Open-Meteo
18,2025-10-23,16.7,21.4,3.1,Moderate drizzle,Open-Meteo
18,2025-10-24,19.0,24.6,0.0,Cloudy,Open-Meteo
18,2025-10-25,20.0,27.9,0.0,Cloudy,Open-Meteo
18,2025-10-26,19.7,29.3,0.0,Cloudy,Open-Meteo
19,2025-10-20,4.2,8.4,0.5,Light drizzle,Open-Meteo
19,2025-10-21,3.1,5.0,2.0,Light drizzle,Open-Meteo
19,2025-10-22,3.6,6.8,0.0,Cloudy,Open-Meteo
